제목,내용,평점,좋아요 수
헤어질 결심,"그가 무너지고 깨어진 순간 깨어난 그녀.
영화 로봇이 만든 것처럼 치밀하고 기계적인 영화.
곱씹을 수록 잘 만든 영화일 것이 분명하다.",4.5,18
오페라의 유령,"사랑이라는 대가를 바란 애정결핍 스승과,
동경과 동정 사이에서 사랑인지 아닌지 헷갈려 한 제자의 이뤄지지 못한 사랑.
인물들에 대한 묘사와 그들의 사고 및 행동방식은 이 영화가 고전임을 여실히 보여준다.
시대적 배경을 감안하고 봐야 할 영화.",4.0,20
썸머 필름을 타고!,"우리의 영화는 여기가 끝이 아닐테니까.
사라짐이 잊혀짐은 아닐 테니까.
+ 캐스팅이 미쳤다는 말밖에",4.0,29
모가디슈,실화 기반으로 밸런스가 광장히 잘 잡힌 영화인듯 하다. 생각보다 너무 담백해서 놀랐다.,4.0,14
빅 피쉬,"팀 버튼이 보여주는 행복한 삶의 방향.
내 기억을 판타지로 남겨 두고 두고 추억하는 것.",4.5,16
노이즈,콧물연기가 감명깊었다. 배우들이 아까웠다.,2.0,12
듀얼: 나를 죽여라,"허술한 전개의 초반
확실한 메시지를 전달해주는 중반
책임감 없이 끝나는 후반
너무 느린 이야기 흐름",3.0,12
닥터 스트레인지: 대혼돈의 멀티버스,"음...? 내가 기대한 마블 영화는 이게 아닌데...
더 이상 멀티버스 세계관을 감당하지 못하는 건지,,",3.0,14
탑건: 매버릭,"메인 플롯은 이미 완성되어 있었고
서브 플롯은 클리셰로 기존작의 아쉬움을 보강했고
톰 형은 나를 신세계로 인도했다.
난 톰 형 덕분에 전투기를 탈 수 있었다.
4DX로 이 영화를 본 건 최고의 선택이었다.
+ 제독이 커피 쏟아줬으면 더 좋았을 거 같단 말이지.",5.0,17
소년시절의 너,주동우가 장르다,3.5,15
러브빌런,영웅은 그 힘으로 악당도 될 수 있다,4.0,31
대리운전 브이로그,통통 튀는 구교환식 유머,4.0,14
탑건,안정적인 클리셰를 따라간 당시 유일무이 소재의 전투기 액션. 내가 태어나기 10년 전에 나왔다는 그 자체도 믿지 못할 일.,3.5,13
범죄도시2,"요즘 트렌드인 먼치킨에 가장 잘 어울리는 주인공과 매력적인 빌런의 합동 파티. 시리즈로 계속되려면 갈수록 더 마동석과 맞먹고 매력적인 빌런들이 계속 나와야 할텐데 제발 나왔으면 좋겠다.
범죄도시만의 밈을 계속 사용하고 반복하는 재미👍",4.0,13
남색대문,"들키고 싶지 않아서 있는 감정 없는 감정 모두 감추며 같은 표정만 지었던 나에게,
좋아해도 더 다가갈 수 없었던 나에게,
옆에 있는 것만으로도 만족했던 나에게,

그리고 이런 나를 좋아했던 나와 닮은 너에게.

어쨌든 우리에게 무언가는 남을테니깐.",4.5,15
우연과 상상,"어디로 튈 지 모르는 탱탱볼 같은 영화. 그저 튀는 방향으로 나를 맡기고 같이 즐기게 된다. 너무 맡기느라 중간에 졸아버린 건 비밀... 다시 봐야지...ㅎㅎ 예상되는 삶은 재미없잖아~
+ 영화를 보고 난 후 지나가는 모든 순간순간들이 재미있어지고 있다. 내 삶 또한 우연의 연속이기에",4.5,21
"파리, 13구","사랑에 대한 다양한 해석과 가치관과 편견들.
그런 각자만의 사랑들이 동화되어 가는 과정들.
나는 전에도 지금도 앞으로도 사랑했고 사랑하고 사랑할 것이다.",4.5,26
이터널 선샤인,"당신이 없을 때가 기억나지 않는데.
듣기 좋은 소리네.
+현실과 꿈이 합쳐지면 인생 그 자체가 서사가 된다.",4.5,17
내가 그리웠니,결국 그도 힙합을 완전히 놓지 못했다.,3.0,9
루이스 웨인: 사랑을 그린 고양이 화가,"원제보다 마음에 드는 한글 제목, 그저 베니가 연기 기똥차게 잘 하는 인물 전기 영화.",3.0,27
우린같이 영화를보고 소설을읽어,"고쳐지지 못하는 폭력성, 그 반복.",2.5,12
일장춘몽,스토리보단 기술력. 아이폰 광고.,3.0,20
나일 강의 죽음,문제집이라 쓰고 해설집이라 읽는다. 니가 읽고 니가 풀고 니가 정답 맞추고 다 해라.,3.0,13
사랑을 카피하다,개인적으로 이해도 공감도 몰입도 힘들었던 그들만의 소꿉놀이,2.5,11
축복의 집,해수의 3일을 통해 그녀와 가족들이 살아온 인생을 엿보는 영화. 앞으로 살아갈 삶이 축복이길 바랄 누군가의 선택과 동조. 모든 것은 집에서 시작된다.,3.0,13
피그,솔직히 어렵다. 아니 어렵다기 보단 개인적으로는 너무 꼬여있다고 생각이 드는 영화. 의도적인 꼬임이란 건 알겠지만 좋은 꼬임인가에 대해선 의문.,3.0,22
만 년이 지나도 변하지 않는 게 있어,"항마력 자신 있으신 분들만 극장에서 보시는 거 추천
'신과함께'와 '도깨비'를 신파와 함께 2시간 속성으로 잡숴보세요.",2.5,30
"틱, 틱...붐!",뮤지컬 팬이라면 더 재밌게 볼 수 있을 영화.,4.0,17
스파이더맨: 노 웨이 홈,"스파이더맨 세계관의 재정립 대성공.
추억에 빠져 몇 번이나 감탄했는지 모를 정도.",4.5,24
어나더 라운드,"사람의 감정과 삶을 함께 공유하는 것 중에 술보다 가까이 있는 게 있을까. 희로애락의 다른 단어는 술이다. 그리고 그 희로애락이 담긴 영화.
+ 애주가의 팬심으로 별 반개 추가",4.5,26
아이리시맨,"마피아 일대기 영화의 집대성.
너무도 덧 없는 마지막.",4.5,18
전장의 피아니스트,오랜만에 영화제 영화 감성 뿜뿜. 클리셰도 많았지만 그만큼 깔끔하고 재밌게 본 영화. 주인공의 무능과 이해 안 가는 억지가 약간 아쉽지만 충분히 감안하고 볼만하다. 영화의 주제가 너무 플랫한 건 조금 아쉬울 수도?,4.0,11
돈 룩 업,"밈과 풍자와 패러디로 다채롭게 꾸며낸 현 시대의 요약본.
영화가 트렌드 그 자체.",5.0,30
레이니 데이 인 뉴욕,도덕적으론 아니다 라고 속으로 말하지만 볼수록 빠져드는 우디 앨런의 위트 넘치는 사랑이야기. 매력이라는 게 자연스레 흘러나오는 캐릭터들에 홀릴 수 밖에 없다. 어쩌면 영화 속 인물들의 센스를 동경하는 것일 수도.,4.0,22
안녕 알베르토,"아직 어리니까. 근데 너무 넌씨눈이긴 해,,,",2.5,29
떨어져 있어야 가족이다,배우들이 이 악물고 멱살 캐리 하려 했지만 코미디와 감동 둘 다 놓친 신파 단편...,1.5,13
뎀프시롤:참회록,장편보단 단편이 어울리는 아이디어와 깊이,3.0,13
"오늘, 우리",좋은 단편들을 엮어 만든 단편집 중 눈에 띄는 '대자보',4.0,14
우리는 모두 어른이 될 수 없었다,특별했던 기억들이 쌓여서 시간이 지나고 나면 어른이 된다. 우리는 모두 어른이 된다.,4.0,20
드라이브 마이 카,"삶이란 각자 다른 방식으로 살아가지만 한편으로는 같은 방식으로 살아간다. 속으로 꽁꽁 감춰두고 분출시키지 못하는 것에 대한 반복되는 후회. 난 왜 이렇게 살아왔고 살아가는 중인가 싶지만 쉽게 변화하지 못한다. 하고싶은대로 하는 다른 이의 삶이 부러울 뿐. 그런 나는 나같은 사람을 만나 위로 받는다. 우리가 살아가는 방식은 그런 거라며.
그리고 내 곁엔 결국 소중한 것들만 남았으면 좋겠다고.
+ 2회차 관람, 영화의 모든 대사와 소재들, 인물들은 모두 주인공의 삶 그 자체였다. 그들을 통해 나를 본다.",4.5,29
끝없음에 관하여,"상실의 무한함을 주제로 나열 된 아트워크.
아름다운 미쟝센과 카메라 구도가 볼만한 영화.
잊고싶은 걸 잊기 위해 떠올려서 잊지못했다는 문장이 떠오르는 영화.",3.0,26
세상에서 가장 아름다운 이별,수능에 지문으로 나왔던 영화라 기대했는데 신파 of 신파에다 불쌍하다 못해 혼자 버려진 듯한 주인공의 모습을 보는 건 너무나 불편했다.,2.0,12
이터널스,"마블다운 액션과 익사이팅한 면은 없었지만 클로이 자오 감독의 캐릭터 묘사와 심리 표현 방식이 너무너무너무 마음에 들었고 마블 유니버스의 다음 페이즈로 넘어가기 위한 초석을 두는 거에 있어선 꽤나 성공적이지 않았나 싶다.
+ 감독에 대한 팬심이 많이 가미 된 코멘트입니당
++각본가 씹새끼의 헛소리 때문에 별점 하나 뺍니다",3.5,16
마이 뉴욕 다이어리,"하고 싶은 일에 도전하고 싶지만 하지 못하는,
어쩌면 하지 않고 있는 당신들과 나에게 전하는 편지.",4.0,34
그 새끼를 죽였어야 했는데,막장 드라마 총 집합의 집필 버전,3.5,12
라임크라임,"초반엔 좀 오글거리는데 생각보다 높은 완성도에 감탄하고 감.
우리나라에서도 이런 힙합 영화가 나왔다는 게 기쁨.
올티 귀여워♡",3.5,20
내일의 기억,"소재에서 어쩔 수 없이 보이는 신파 요소, 실험적인 컷이 많아 재밌었던 부분도 있지만 애매하게 끝난 듯한 결말이 아쉽다.",3.5,15
로데오 카우보이,하나의 꿈만 좇던 그가 그 하나를 평생 포기해야할 때. 그 현실을 수긍해야 할 때. 그 허망감은 겪어본 자만이 알 수 있다.,4.0,9
내부자들: 디 오리지널,한줄평은 내부자들 코멘트에.,4.0,20
라스트 듀얼: 최후의 결투,"마리그리트는 왜 박수를 받는가.
근본으로부터 오는 황당함.
편협한 사고로 보이는 것만 보였던 두 남자의 괴상한 혈투.",4.0,30
듄,"'듄'이라는 새로운 세계관의 시작.
아직은 세계관의 몰입을 위한 장치들이 많은 편.
앞으로 나올 속편들을 고대하고 또 고대한다.
나의 세대에 등장할 새로운 스타워즈를 위하여.

-211018 용산 IMAX 시사회-",4.5,61
극장에서 한 생각,예상한 반전과 예상 못한 반전.,4.0,13
사일런스,"입 밖으로 내뱉는다고, 하느님을 형상화 한 것을 밟는 것 만으로 배교할 수 있는 것이 아니다.
가장 중요한 것은 믿음과 마음가짐인 것.
비종교인인 내가 봤을 땐 그렇다.",4.0,17
우리의 낮과 밤,같은 곳에 살려고 다르게 살아가는 이들의 이야기.,3.5,19
파란,"피해와 가해가 공존했던, 어렸던 나날들의 기억.",3.0,13
그녀를 지우는 시간,똥고집 좀 제발 그만 쳐 부리시라는 편집기사님들의 호소가 담긴 것 같은 영화. 장르 브레이킹이 매우 매력적이다. 그럼에도 영화에 가장 애정을 쏟는 것은 바로 감독이라는 것.,4.5,23
액션히어로,"전국의 대학원 노예들을 위해 바치는 헌사.
유려하고 깔끔한 연출이 감명깊은 영화.",4.0,23
아네트,"직관적이면서도 감각적인 영화.
비슷한 처지라 생각한 둘의 감정 교류와 더불어 비슷한듯 달랐던 둘의 삶에 대한 깨달음.
각자의 삶의 원천을 향한 끝없는 분노와 더불어 삶의 이유를 유지하기 위한 끝없는 관심의 갈망.
모순적인 삶 속에서 뿌린 씨앗 아네트.

알고 있는 건 그저 사람들의 앞에 서서 박수 받는 것.
반복되는 건 본인들이 겪었던 그대로의 아픔과 역사.

아네트는 원숭이인형이 아닌 사람이었고 남들의 관심과 박수가 아닌 부모의 사랑이 필요한 아이였다.

- 21.10.15 아트나인, 레오 카락스 감독님 무대인사-",4.5,27
퐁네프의 연인들,"당신의 결핍이 나보다 많기를.
나에게 의지하며 나만 바라봐 주기를.
이제서야 알게 된 사랑이란 감정을 잃지 않기를.
추하지만 방법은 그것뿐이었음을.",4.0,21
밤하늘이 어두운 이유,"아 내가 칠판 긁는 소리도 크게 신경 안 쓰는데 딱 하나 극혐하는 소리가 너무 적나라하게 나온다.
라는 것 말고는 인상깊은 게 없다.",1.5,14
"그래도, 화이팅!","되는대로 찍어서 되는대로 만든 영화.
그럼 영화가 된다. 화이팅 우리네 삶.",3.5,21
심부름,짧고 굵어서 부족한 설득.,3.0,18
나들이,쉽고 위트 있게 다가오는 무거움,3.5,16
우리는 서로 사랑해야 한다,숨기는 정보 속 상상하는 재미.,2.5,19
코다,클리셰 넘치는 노래 중심 하이틴에 장애란 요소를 섞다. 저예산 할리우드 영화를 보는듯한 느낌. 🤟,4.0,25
흐르는 강물처럼,재미가 있는것도 없는것도 아닌 영화를 그냥 그냥 끝까지 보게 되는 영화가 있다. 때로 거세지기도 하지만 평소엔 잔잔한 물결처럼 그렇게 잔잔하게 다가오는 영화.,3.5,23
잔나비 판타스틱 올드패션드 리턴즈! x 넌센스 Ⅱ,"잔나비 16년도부터 골수팬으로써 올해 가장 기대작인 게 확실.
관람 후 - 잔나비 공연 너무 오랜만에 봐서 진짜 기쁨의 눈물😭😭😭😭😭 멤버들 솔로일때 프레임드랍 연출방식 너무 아쉬웠다ㅠㅠㅠ 잘하는거 보여주지ㅠㅠㅠㅠㅠ
영화로 끝내지 말고 잔나비 라이브를 가야하는 이유가 그대로 나오는 영화
1. 뛰지 못한다 2. 라이브가 더 쩐다 3. 현장감 아는 사람은 결코 잊지 못한다.",5.0,21
샹치와 텐 링즈의 전설,"다들 마블의 기대치가 굉장히 높아져 있긴 한가보다.
난 어려운 마블의 얘기보다 이런 얘기가 좋다.
우리가 마블영화를 보기 시작한 이유가 이런 오락요소가 아니었나 다시금 상기시켜본다.
마블의 영화로만 생각하면 더 좋게 봤을거 같지만 무협소설과 만화의 열성적인 팬으로써 어설프기 짝이 없는 무림과 무협의 묘사와 그 얕은 깊이가 오리엔탈리즘과 함께 영화 내내 너무 아쉽게 다가온다.
양조위와 양자경의 출연으로 일대종사와 와호장룡의 효과를 누려보려는 마블의 계획은 무림영화의 이해도 부족으로 절반의 효과만 얻어가지 않았나 싶다.",4.0,68
아무도 없는 곳,죽음과 삶의 모호한 경계선을 보여주고 싶어하는 감독의 욕망.,3.0,19
앤젤스 셰어 : 천사를 위한 위스키,애초부터 교훈과는 거리가 멀었던 영화고 그런 그들을 다루는 영화. 위스키에 대한 영화로 기대가 많았어서 더 실망스러운 영화. 다른 것들은 차치하고서라도 삶에 대한 고민 없이 되는대로 사는 그들의 모습들은 너무 매력 없다. 시작과 끝은 정해져 있고 내용들을 꾸역꾸역 만들어 낸 느낌. 엔젤스 셰어 하나만을 바라보며 달려가는 듯한 이야기가 아쉬운 부분.,3.0,11
경주,"죽음과 삶이 공존하는 도시에서 쉽게 느껴지는 죽음과 삶. 그리고 그 사이에서 갈피를 잡지 못하는 주인공. 느리고도 서서히 다가오는 죽음이라는 목표에 도달하기 위해 남아있던 미련들과 잡념을 내려 놓기 위해. 영화조차 느려진 것은 그 생각에 대한 존중일까.
대사와 행동이 좀 더 자연스럽고 좀 더 현실감 있게 다가와줬으면 어땠을까 싶은 아쉬움도 있다.",3.5,18
공작,"설정과 대사의 깊이에서 우러나오는 영화의 완성도.
그때만 이런 공작이 있었을지는 지금도 아무도 모른다.
마지막 신파 장면 말고 다 좋음 ㄹㅇ",4.0,18
노인을 위한 나라는 없다,"자잘한 곁가지 없이 큰 줄기 하나를 따라가는 영화 속 따라가지 못하는 한 인물.
그가 끝까지 따라갈 수 있을 줄 알았지.
보통은 그게 영화니까. 근데 이 영화는 아니더라고.
처절함과 긴장감 뒤 생각보다 쉽게 다가오는 허무.",3.5,16
더 포스트,"실화 기반으로 영화를 만들 때 필요한 소스들은 넘쳤겠지만 장르 '스필버그'로 잘 엮어낸 영화.
주인공이 누구인지 강제주입 시키지 않아도 자연스럽게 관객의 뇌리에 박히는 영화와 그런 연출. 이런 영화들이 나와야 한다.  50년 전의 실화라는 게 신기하면서도 영화가 주는 분위기에서 현재 무엇이 바뀌었나, 또 바뀌어야 하는가 생각하게 되는 영화.",4.0,18
블랙 위도우,오랜만에 나온 마블 히어로 무비에 그동안 너무 기대치가 높아져있던 탓인지 아니면 너무 많은 블록버스터 영화들을 봐온 탓인지 생각보다 너무 아쉽기만 한 영화.,3.5,21
블라인드 사이드,"짧고 굵고 재밌는 미드 한편 본 느낌
발암 뻐킹 빌런들이 없어서 편안하게 볼 수 있는 영화
각 인물들의 대사나 캐릭터도 매력적이다",4.0,18
우리도 사랑일까,익숙함에 속아 소중함을 잃는다고 누가 뭐라 할 수 있을까.,3.5,22
동생을 위한 절대적 사랑,"한글 제목 너무 구리다,,, 원제 직독직해 해놓은건가 했는데 그건 또 아니어서 당황쓰,,, 소재와 캐릭터는 단순하지만 나름 잘 챙겼는데 루즈한 전개에 캐릭터들도 너무 평면적으로 변해버렸다.",2.0,14
악마는 프라다를 입는다,"사실 그녀가 얼마나 큰 노력을 했는지, 갑자기 그 명품들을 다 입을 수 있었는지, 그녀의 어떤 것이 미란다의 마음에 들었는지 모르겠고 결국 모든걸 내팽겨치고 무책임하게 떠난 그녀는 누군가에겐 폐급처럼 보인다. 절실한 사람 앞에 그 길에 뜻도 없는 자가 갑자기 나타나 총애를 받으며 치고 올라가는 걸 보는 주변 다른 직원들은 어떠한 생각을 했을까.",3.5,18
더 보이스,"조현병이란 건 지속적인 치료와 모니터링이 필요할 정도로 생각보다 위험하다. 환자마다의 원인와 증상은 다르겠지만 제리에겐 관심과 사랑이 필요했을지도.
p.s. 안나켄드릭이 완전 사랑스럽게 나온다.",4.0,8
털보,"그 동안 강박증 같았던 여성의 털의 이미지, 그것을 관통하는 청소년기와 호기심을 퀴어로 멋지게 풀어냈다.
하지만 주인공 연인의 가장 큰 매력이 보이쉬로 보이는 것이 개인적으로 아쉽다.",3.5,12
누구도 기억하지 않는 하루,새롭지 않은 것을 넘어 보고 또 보던 이야기,2.5,9
히든 피겨스,"그 어떤 주제 소재보다 빡센 언더독의 실화 기반 이야기.
기존의 틀을 깨기 위해선 특출난 능력과 깨어있는 기득권이 필요하다는 것은 아쉽지만 이것이 현실인걸.
샘이 캐서린을 찾으러 뛰어가는 장면이 하이라이트.",3.5,16
루카,"급전개는 때로는 굉장한 속도감으로 재미를 부여하지만, 때로는 너무 빠른 진행으로 내 입맛과는 위화감을 나타낸다. 영화의 메시지는 간단명료하고도 직설적으로 잘 전달되지만 그렇기에 너무 쉽고도 반감된 재미로 다가온다. 정말 아이들만을 위한 영화인 듯 싶다. 강제 반복 주입식 메시지도 아쉽다. 물론 주관적인 생각이다.",3.5,26
나이브스 아웃,"개꿀잼 추리영화.
앞에서 추리하던 걸 해결하면 새로이 추리해야 하는 것이 나온다. 마치 영화 서너편을 본 거 같다. 마르타의 방식으로 해결했다는 것이 소름.
추리 영화가 어렵고 머리 쓰는 게 싫은 관객들에게도 충분히 설명도 많으면서도 재밌는 영화.",4.5,22
오! 형제여 어디에 있는가?,"무신론자의 독실함, 백인우월주의자의 영웅 유색인종, 죽기 직전 살려주는 관짝, 차별 반대를 외치는 사회운동가의 인종차별, 바보들의 참모승진 등. 반대되는 여러 포인트들을 차례대로 배치시키며 영화를 끌어나간다. 그리고 그 모든 상황을 보며 그저 앞으로 가며 바퀴만 저어가는 검은 얼굴의 예수님.",4.0,14
메멘토,나의 기억력에 대한 시험.,4.0,18
크루엘라,"장중을 휘어잡는 두 배우의 명품 열연.
이를 서포트하는 완벽학 의상과 분장.
적절히 섞여있는 잔혹 동화 유머 코드.
깔끔한 스토리와 도를 넘지 않는 기승전결.
그게 다소 밋밋하게 다가오는 스토리라인일지라도 충분히 매력 넘치는 작품.",4.0,24
벤허,"전차들 지나가는 그 말발굽들 사이로 찍고 있는 카메라 액팅을 보고 그만 말을 잃었다. 1925년 영화가 맞나 싶다. 시퀀스마다의 루즈함과 전체 줄거리의 잡혀있지 않은 큰 줄기는 아쉽지만 무성영화시대에 이런 영화라니,,,",4.5,21
기호 1번 나청렴,사람 쉽게 안 변하는데 하물며 능구렁이들이야 더 하면 더 했지.,2.5,11
타이타닉,영화가 학문이라면 가장 먼저 가르치고 배워야 할 교본.,5.0,23
제리 맥과이어,너무나 자극적인 작품들을 이미 접한 상태의 나에게 이 영화는 생각보다 심심하게 다가왔다. 현재의 삶만 보더라도 그때의 사회적 편견 속 두 주인공의 사랑은 남들의 눈치 속에서 힘겹게 이루어낼 수 있었기에 더 사랑받는 영화가 되지 않았을까.,3.5,15
어느 멋진 순간,"단순 심플한 스토리와 매력적인 배우들, 유치한 듯 재밌는 대사, 최고급은 아닐지라도 특유의 맛과 향은 남은. 와인에 관한 깊은 지식없이도 간편히 즐길 수 있는 영화.",4.0,10
혹시 내게 무슨 일이 생기면,"있으면 안 되는 이야기. 항상 근본적 원인에 대한 의논이 이루어지지만 결국 이루어지지 않는 먼 나라 이야기, 그럼에도 작게 보면 우리에게도 있을 수 있는 이야기. 심장이 아린다.",4.0,18
프렌치 키스,"2000년대 이후 작품이 아니라 다행이라 생각.
개인적으로 크게 매력적으로 다가오는 캐릭터들은 아니었고, 과장된 액팅과 표정들이 과하지 않았나 싶은 영화.",3.0,14
삼진그룹 영어토익반,"중간까지 추리 3할 오락 7할로 참 재밌게 보다가 결말부분에서 재미 와르르맨션,,,,",3.0,15
두더지,"너무 처절하게 힘내라는 메세지를 주려는 영화.
과한 설정들과 이해하기 쉽지 않은 캐릭터들을 온전히 내 상상력에 맡기며 영화를 감상하기엔 너무 어려운 영화.
영화 촬영 당시의 일본의 처절했음과 재난의 공포, 그 상황에서 벌어진 상대적 박탈감 등이 도드라진 영화.",3.5,14
님포매니악 볼륨2,"마지막 보고 소름이 돋는 영화.
인간의 욕망은 누구에게나 해당된다.
자의적이든 타의적이든 어떤 유형 아니면 어떤 취향이든.",4.0,15
하코다테에서 안녕,"한번쯤 나눠 보고 싶기도 싶지 않기도 한 감성 대화
공간에서 감정과 스토리를 상상해 내는 감독님의 스토리텔링",3.0,11
별 시,"누군가에겐 안식처
누군가에겐 은신처
누군가에겐 쉼터
누군가에겐 삶터

누구나에게 허락된 공간
누구나 속 앓이를 터놓고 갈 공간",3.5,9
와인 미라클,"실화 바탕의 미국 뽕 오지는 와인 개척 영화.
흘러가는대로 편안하게 보기 좋다.",3.5,16
"부르고뉴, 와인에서 찾은 인생","좀 오래된 듯한 강한 직유법이 느껴지는 연출 방식.
복잡하지 않고 시간 가는 대로 흘러 흘러 진행된다.",3.0,12
미나리,자신의 실현 가능한 이상 혹은 안 좋은 일이 해결 될 것이라는 믿음을 바탕으로 쓸모 있는 사람이 되기 위해 달려가는 쓸모 없다 여기는 사람들.,4.5,19
분노의 질주: 홉스&쇼,"분노의 질주가 갑자기 왜 이렇게 된 거여...
레이싱 영화 특유의 매력은 어디가고 그저 그런 자본 투척 콰광 할리우드 영화가 되어버렸다.",3.0,15
마스터,불완전을 지우고자 만난 완전이 사실은 불완전이었을 때. 그 불완전에 동화되어 가는 나의 불완전을 마주했을 때. 결국 완전이 되지 못한 나의 모습에 그저 순응할 때.,4.5,22
글래디에이터,"극강의 미쟝센에 액션오락 시대극.
근데 기대보다 유치해서 놀람.",3.5,22
PMC: 더 벙커,"워낙 악평이 많길래 안 보고 있었는데 액션, 카메라, 총격씬 모두 생각보다 괜찮았다. 근데 어거지 각본과 어거지 설정들, 액션씬과 플래닝 씬을 제외하고는 좀 올드한 연출(특히 모든 사건은 동시에 발생하는 듯 하지만 순서대로 진행된다)이 많이 아쉽다. 더테러라이브에서 본 김병우 감독님의 색깔은 보인 영화. 다음 작품도 기대해본다.
+P.S 이선균 배우님의 북한 말 연기 많이 아쉽다.",3.5,11
보스 베이비,"쿠키영상까지 완벽함 키덜트들을 위한 애니메이션.
기발한 상상력에 약간은 부족한 스토리.",4.0,13
42,"훌륭한 교육용 실화 기반 인권 영화.
영구결번 42번의 재키 로빈슨의 시작.",3.5,6
이웃집 토토로,"현실인 줄 알았는데, 현실이 아니었다.
상상인 줄 알았는데, 상상이 아니었다.
어른인 줄 알았는데, 어른이 아니었다.
아이인 줄 알았는데, 아이가 아니었다.
상상력 뿜뿜하게 만드는 애니메이션. 지브리의 힘.",4.0,10
"안녕, 나의 소울메이트",정반대의 성격 둘이 서로에게 스며들어 서로의 삶에 대한 동경이 피어오를 때. 사랑하고 미워하다 화해하고 이해하자 보이는 각자의 인생. 주동우 배우의 디테일하고도 세련된 다양한 표정은 볼수록 매력적이다. 연기 정말 잘 한다.,4.0,7
사이드웨이,술과 같은 영화. 빠지면 빠질수록 제어를 잃어버리고 어디로 튈 지 모른다.,3.5,10
오하이오 삿포로,내가 싫어하는 거부감 드는 클리셰들이 너무 많다. 배우 분들의 연기 때문에 끝까지 봤다.,2.5,3
무간도,"디파티드의 각본은 무간도 그 자체였구나.
몇 층은 더 세련되어진 디파티드에 비해 투박하지만 그런 원석의 맛이 있는 영화. 수많은 리메이크 작이 만들어진 하나의 장르가 된 영화.",4.5,6
옥희의 영화,"보는 관객 각자의 경험과 각자의 스토리로 재해석 될 영화. 허나 난 아직 경험이 부족한 듯하다.
10년 전 영화라지만 남자 주인공이 너무 찌질하게 느껴진다. 저게 사랑이 맞을까, 같은 남자임에도 오히려 폭력적으로 느껴진 저 집착들은 다시 나에게 사랑이란 대체 무엇인지에 대해 생각하게 만들려 하지만 깊게 본 영화가 아니라 내 생각의 깊이마저 얕아진다. 깊게 보고자 노력했기에 더 얕아 보이는 것일 지도...",3.0,4
풀잎들,"사실적으로 찍는 그의 영화를 보면 내가 사는 세계가 드라마고 저 세계가 현실이 아닐까 하는 생각이 들 정도로 나와는 너무 다른 세계지만 몰입하게 된다.
죽음이라는 소재를 이용하여 새로운 관계를 찾아가는 사람들.
화려하게 포장되어진 영화가 아닌데 울퉁불퉁하지도 않은 매끈한 돌 같은 영화같다. 이 돌이 수많은 돌들 중 어떤 돌이고 어떻게 쓰이는 지는 알아볼 가치가 있어 보인다. 이게 홍상수 감독의 영화를 좋아하는 사람들의 심정일까 싶어서 그 동안 생각도 하지 않았던 다른 영화들도 들춰보고 싶어진다.",3.5,4
판타스틱 Mr. 폭스,웨스 앤더슨식 인간 세상 풍자 만화.,3.5,6
비긴 어게인,원스에 비해 좀 더 상업적인 영화로 바뀐 그 부분이 너무 마음에 드는 영화. 스케일 큰 원스.,4.5,5
분노의 질주: 더 익스트림,"앞으로도 브라이언은 계속 함께 할 것이다
액션쾌감 다 때려뿌시고 싶을때 간접체험 오져버릴듯.
솔직히 이제 내러티브 보고 평가할 영화는 아니잖아.
그 어떤 로봇 나오는 영화 마냥 똥쓰레기만 안 되면 됐지.",4.0,1
분노의 질주: 더 세븐,"지금까지 본 모든 영화를 통틀어서 어쩔 수 없이 가장 기억에 남을만한 결말.
마지막 바다 씬 보는 순간 눈물이 핑 돈다.
폴 워커 그와 이 OST가 영원히 기억에 남을 수 밖에 없는 이유.
유치찬란했던 전개는 다 잊히고 폴만 기억하게 된다.",4.5,2
분노의 질주: 더 맥시멈,"짜릿 액션 쾌감.
장편이 가지는 장점을 고스란히 살려가면서 만들어내는 액션 레이싱 영화.
스케일이 너무 커져 탱크에 배틀크루져까지 나와버린다.
화끈한 게 땡길 땐 추천할 시리즈.
근데 뭔가 갈수록 빡빡이 정모 하는 느낌ㅋㅋㅋㅋㅋ",4.0,2
분노의 질주: 언리미티드,"점점 커져가는 스케일과 꿀잼 액션 레이싱들.
영화를 보는 내내 화려한 이펙트들로 눈이 즐겁다.
이런 오락 영화에 완벽한 전개를 바라진 않지만 필요한 건 챙겨가는 영리한 영화.",4.0,6
분노의 질주: 더 오리지널,"3편에 비해 월등히 재밌다. 돌아온 눈요기 영화.
경찰의 틀을 벗어난 브라이언에게 걸게 되는 기대.",4.0,5
패스트 & 퓨리어스 도쿄 드리프트,"빈 디젤 나오는 거 보려고 끝까지 봤다.
거물급 인사들의 어이없는 퇴장들과 밑도 끝도 없는 설정들, 스케일조차 2편보다 작아진 영화.
제대로 된 고증과 사고 없이 만들어진 오리엔탈리즘 영화.",3.0,6
패스트 & 퓨리어스 2,"훨씬 커진 스케일, 더 즐거운 눈요기.
쾌속 질주 오락 영화.
복잡한 생각 없이 즐기기 좋은 영화.",4.0,1
분노의 질주,"사람들이 왜 폴워커를 그리워하는 지 알 거 같은 영화.
할리우드 블록버스터 급의 스케일도 아닌듯 한데 못지 않은 빅 재미.",4.0,2
나의 문어 선생님,놀라운 자연의 세계. 언뜻 보면 허망한 결말일지라도 문어에겐 이보다 행복할 순 없을 것 같다.,3.5,6
