제목,내용,평점,좋아요 수
철도원,나도 모르게 일본 감성에 눈처럼 파묻힌다,3.0,5
플로리스,두 연기 귀신의 무결점 플로리스 연기에 경의를..,4.0,5
플립,누구나 일생에 한번은 만난다는 무지개빛 첫사랑 동화같은 이야기.. 포스터가 정말 아름다운 영화,4.0,7
로스트 인 시리아,그놈의 알라가 준다는 낙원에 속아 영혼마저 털리게 되는 공포영화,5.0,7
스텔라,이미 일어난 일은 당신 책임이 아니지만 그 일이 반복되지 않게 노력하는 건 당신 책임입니다..폴리비어의 엄청난 연기,3.5,10
딥워터,33미터 해저보다 트렁크가 더 큰 난적이 될 줄이야..,2.5,7
부초,용서와 화해를 위한 인간의 고뇌,4.5,4
애프터매스,관계회복하기에는 안성맞춤인 집 어디까지 실화인지 알수가 없네,2.0,6
24개의 눈동자,함께 울어주는 선생님 그리고 선생님이 그리워 우는 학생들..먹고 살기 힘들었어도 그 때가 따뜻했다,4.0,7
소년,세상에는 차라리 없는것만 못한 부모도 있다,3.5,4
숨은 요새의 세 악인,"구로사와 아키라의 1958년도 작된 영화로는 믿어지지않는 혁신적인 연출과 인간적인 서사, 그리고 시대를 초월한 감각은 영화사에 길이 남을 걸작이다",4.5,5
미야모토 무사시,사무라이가 되는길이 멀기만하구나..3부작이라니..,3.5,6
디어 존,사랑하기 참 어렵다 아메리칸 스타일은 더 더욱..,3.5,6
센스 앤 센서빌리티,사랑은 이성과 감성의 조화 속에 아주 복잡한 과정을 겪는다,4.0,8
클로저,stranger가 closer로 되는 순간 얼마 지나지 않아 다시 stranger로.. 그렇게 현대 도시인들은 쉽게 정하고 쉽게 포기한다,4.0,8
성냥공장 소녀,쥐들이 죽어 가는 모습을 보고 싶었던 것은 나뿐이었을까?,4.0,6
강호용호문,왜 이리 홍콩영화는 제목도 내용도 다 비슷하게 만드는건데?,3.0,5
용호풍운 디 오리지널,첩혈쌍웅의 역할 바꾸기.. 서로 몸에 안맞는 옷을 입혔네,3.0,5
더 리틀 띵스,"덴젤 워싱턴, 라미 말렉, 자레드 레토 아카 데미 수상자들의 뛰어난 연기..오히려 모
호한 결말이이 영화의 진가",4.0,7
세인트 아가타,소중한 시간을 좀먹는 영화,0.5,6
심플 플랜,욕심이 죄를 낳고 죄가 사망을 낳느니라,4.5,6
강호정2: 영웅호한,만자량이 더 강해져서 돌아왔다,3.0,3
강호정,만자량의 보조개가 주윤발 올백머리를 비웃다,3.5,3
종횡사해,오우삼 주윤발 장국영 ..어깨 힘을 빼다,2.0,4
광녀들의 무도회,어디든지 선과 악은 존재하며 서로 대립한다,2.5,3
늑대의 살갗 아래,"'그리고 여자를 다루는게 더 힘들잖아요'
늑대를 잡아 먹은 여우의 승리",3.0,2
뜨거운 피,정우의 연기가 어째 전작 '바람'때와 달라진게 없노,3.5,2
"숨겨진 검, 오니노츠메","‘검을 뽑아들면 누구나 긴장하는 법, 마음도 몸도 굳어버린다. 
그건 자연스러운 것이다.’
‘그리고 서서히 평정심을 찾도록 한다. 몸의 긴장도 따라서 풀어진다.... 
중요한 건 피하는 건 몸이지 마음이어서는 안 돼’
‘마음은 언제나 공격 또 공격이다.’",4.0,3
블랙 프라이데이,용두사미의 교과서,2.0,5
쿠쿠,참신하지만 재미가 없는게 흠,2.0,5
스마일 2,전편보다 기괴하고 고어해진 성공한 속편 나오미스콧이 이렇게 연기를 잘했나?,4.0,7
밤부 돌 오브 이치젠,지고지순한 사랑의 슬픈 여운,4.0,3
더 테러 라이브: 스쿨 어택,긴장감이 하나도 안드는게 문제,1.0,3
베테랑2,류승완 영화 이제 밑천이 다 드러났다,1.0,9
신해석 삼국지,다 좋은데 왜 일본이 삼국지를?,1.0,4
공포의 보수,이브몽땅의 신나는 드라이브 내리막 저승길,3.5,7
