제목,내용,평점,좋아요 수
클레오의 세계,새로 안경을 맞추고 클로즈업으로 들여다본 어린 날들의 그림자.,3.0,130
티처스 라운지,못 본 척 한 걸음만 물러나도 어느새 까마득한 낭떠러지.,3.5,114
사랑은 낙엽을 타고,삶이 전쟁이고 세상이 전장이어도 아랑곳하지 않는 아키 카우리스마키의 낭만과 유머.,4.0,448
노량: 죽음의 바다,긴 북소리의 이명으로 남은 장중한 피날레.,3.0,312
조이랜드,허리까지 차오른 역할의 수렁에서 나 자신으로 살아간다는 것은.,3.5,113
리빙: 어떤 인생,해왔던 것에서 튕겨져나와 해야할 것을 바라보다 할 수 있는 것을 찾아낸 작은 톱니의 행로.,3.0,156
나폴레옹,함량과 온도를 못 맞춘 맹맹한 풍자극.,2.5,160
괴물,오해를 경유해서 이해에 이르는 경험 끝에 관객은 그 햇살 아래서 증인이 된다.,4.5,5731
싱글 인 서울,잘 살려낸 시대와 현장의 공기 속에서 가치관의 변화가 흥미롭게 반영된 로맨틱 코미디.,3.0,225
서울의 봄,야만과 무능의 그 겨울밤에 대한 분노가 시종 팽팽한 긴장감 속에서 펄펄 끓는다.,3.5,1753
빅슬립,"말투에서 눈빛과 몸놀림까지, 김영성에게 제대로 놀랐다.",3.0,110
더 킬러,그 킬러처럼 “정확히 예측하고 임기응변 하지 않고 단계마다 이게 득이 되는지만 자문하는” 연출의 프로페셔널리즘.,3.5,271
더 마블스,해질녘엔 그림자가 더 길어 보인다.,2.0,351
뉴 노멀,적절한 재치가 돋보이는 챕터와 과도한 센스로 경박해지는 챕터가 함께 담겼다.,2.5,89
우리의 하루,자막 먼저 제시해 의미를 발라낸 후 느끼게 하는 평범한 그 하루의 평화.,3.5,107
두 사람을 위한 식탁,그토록 사랑하고 아파해도 깊이 닿을 수 없는 타인이라니.,3.0,94
괴인,무슨 관계인지도 짐작하기 어려운 인물들의 어떤 연유인지도 모를 사건들 속 뭘 생각하는지 아리송한 심리를 신선하게 탐색한다.,3.5,187
톡 투 미,또렷한 인물 묘사와 센스 넘치는 시점 전환으로 탄력있게.,3.0,145
그대들은 어떻게 살 것인가,미야자키 하야오의 최고작이 될 순 없어도 그의 예술의 총결산이 될 운명을 품은 역작.,4.0,723
플라워 킬링 문,진창에 빠진 채 하늘의 별을 바라보는 자의 비밀과 거짓말.,4.0,310
너와 나,그 흔한 사랑해라는 말을 이처럼 간절하고 사무치게 전하는 영화가 또 있을까.,4.0,935
화란,웅크려 늪의 일부가 된 소년과 발버둥쳐 굴레를 벗으려는 소년의 진한 탄식의 2중주.,3.5,248
당나귀 EO,"당나귀, 인간, 그리고 만물에 깃든 카메라라는 범신론.",4.0,151
크리에이터,되짚어 바라보고 뒤집어 구현하는 SF의 서정과 숨결.,3.5,210
킴스 비디오,영화에 미쳤거나 영화를 핑계로 미친 사람들의 거의 미친 이야기.,4.0,297
거미집,바깥의 수렁을 향하던 분노가 내부의 텅 빈 동굴을 울리기 시작했을 때 밀려드는 탁류에 대하여.,3.5,543
절해고도,자신만의 태도와 속도를 갖춘 영화 속을 걷다보니 어느덧 충만해졌다.,3.5,110
스크래퍼,"모든 좋은 관계엔 우정이 담겨 있다, 그게 부모자식 간이라도.",3.0,173
1947 보스톤,정해진 지점들 사이로 그저 터덜터덜 달린다.,2.0,183
천박사 퇴마 연구소: 설경의 비밀,스타 캐스팅으로도 가려지지 않는 호러 코미디 액션의 조악한 접합.,2.0,298
여덟 개의 산,그 산이 기억하는 것은 결국 여름의 우정이 아니라 겨울의 고독.,4.0,188
플로라 앤 썬,음악에 처음 사로잡히던 순간의 떨림만이 생생할 뿐.,2.5,111
